Component Count:,37,,,,
Ref,Value,Footprint,Datasheet,Manufacturer,Vendor
BZ1,Buzzer,Buzzers_Beepers:Buzzer_12x9.5RM7.6,,,
C1,100n,Capacitors_SMD:C_0805_HandSoldering,,,
C2,10u,Capacitors_Tantalum_SMD:CP_Tantalum_Case-C_EIA-6032-28_Hand,,,
C3,100n,Capacitors_SMD:C_0805_HandSoldering,,,
C4,100n,Capacitors_SMD:C_0805_HandSoldering,,,
C5,100n,Capacitors_SMD:C_0805_HandSoldering,,,
C6,100n,Capacitors_SMD:C_0805_HandSoldering,,,
D1,LED,Diodes_SMD:D_0805,LED,,
J1,CONN_01X02,conn_kk100:kk100_22-23-2021,,,
J2,CONN_01X06,conn_kk100:kk100_22-23-2061,,,
J3,CONN_01X09,conn_kk100:kk100_22-23-2091,,,
J4,CONN_01X10,conn_kk100:kk100_22-23-2101,,,
J5,CONN_01X02,conn_kk100:kk100_22-23-2021,,,
J6,CONN_01X03,conn_kk100:kk100_22-23-2031,,,
J7,CONN_01X09,conn_kk100:kk100_22-23-2091,,,
L1,L_cap,Ferrite_LC_NFM41P:Ferrite_LC_NFM41P,,,
L2,L_cap,Ferrite_LC_NFM41P:Ferrite_LC_NFM41P,,,
L3,L_cap,Ferrite_LC_NFM41P:Ferrite_LC_NFM41P,,,
L4,L_cap,Ferrite_LC_NFM41P:Ferrite_LC_NFM41P,,,
L5,L_cap,Ferrite_LC_NFM41P:Ferrite_LC_NFM41P,,,
L6,L_cap,Ferrite_LC_NFM41P:Ferrite_LC_NFM41P,,,
Q1,PZT2222A,TO_SOT_Packages_SMD:SOT-223,,,
Q2,PZT2222A,TO_SOT_Packages_SMD:SOT-223,,,
Q3,IRFR3303,TO_SOT_Packages_SMD:TO-252-3_TabPin2,,,
R1,10k,Resistors_SMD:R_0805_HandSoldering,,,
R2,0R,Resistors_SMD:R_0805_HandSoldering,,,
R3,0R,Resistors_SMD:R_0805_HandSoldering,,,
R4,330R,Resistors_SMD:R_0805_HandSoldering,,,
R5,1k,Resistors_SMD:R_0805_HandSoldering,,,
R6,1k,Resistors_SMD:R_0805_HandSoldering,,,
R7,2k2,Resistors_SMD:R_0805_HandSoldering,,,
R8,10k,Resistors_SMD:R_0805_HandSoldering,,,
R9,100R,Resistors_SMD:R_0805_HandSoldering,,,
RL1,EC2-12NU,2_Form_C_Relay:THT_2_formC,,,
RV1,10k,Trimmer_3314G1_Handsoldering:Trimmer_3314G1_Handsoldering,,,
U1,KA78M05_TO252,TO_SOT_Packages_SMD:TO-252-3_TabPin2,,,
U2,Arduino_Nano,arduino_nano:arduino_nano,,,
